"row.names.data.tot.";"PAL.median";"PCH.median";"EL.median";"PAL.mean";"PCH.mean";"EL.mean";"PAL.max";"PCH.max";"EL.max"
"0Mtp1074";"0Mtp1074";260;320.5;74.8;766.171428571429;352.336363636364;84.9204761904762;3960;951;262
"0Mtp1129";"0Mtp1129";11.4;0;22.8;66.7818181818182;28.1086956521739;38.5105263157895;650;304;196
"0Mtp1156";"0Mtp1156";NA;17;6.09;NA;196.1115;117.045882352941;NA;1160;603
"0Mtp1235";"0Mtp1235";968;208;371;879.315789473684;179.1215;308.6195;1110;514;634
"0Mtp1293";"0Mtp1293";436;250.5;20.9;567.576190476191;313.285;40.5685714285714;1960;799;132
"0Mtp1474";"0Mtp1474";615;245;151;686.833333333333;876.827736842105;181.002222222222;1560;3400;547
"0Mtp1491";"0Mtp1491";19.6;27.5;14.85;133.952173913043;49.1885714285714;49.3568181818182;534;197;255
"0Mtp1512";"0Mtp1512";2530;455;34.4;3261.81818181818;655.3125;86.7010526315789;5650;1920;372
"0Mtp1676";"0Mtp1676";455.5;107;52.55;434.7;109.036842105263;127.194444444444;653;231;887
"0Mtp1724";"0Mtp1724";655;7.675;45.9;928.866666666667;8.00181818181818;74.2773684210526;2450;25.9;292
"0Mtp1747";"0Mtp1747";695;2.9;18;744.514285714286;96.8117619047619;43.7726315789474;2500;530;176
"0Mtp1758";"0Mtp1758";498;51.9;98.4;821.470588235294;108.872352941176;128.015789473684;2360;463;364
"0Mtp270";"0Mtp270";NA;NA;NA;NA;NA;NA;NA;NA;NA
"0Mtp300";"0Mtp300";236;69.5;110.5;224.095238095238;81.8966666666667;106.716;356;188;229
"0Mtp416";"0Mtp416";341.5;70.2;3.04;442.227272727273;88.3130434782609;77.14;1300;196;419
"0Mtp581";"0Mtp581";229;28.65;40.68;232.073913043478;254.016181818182;127.4165;523;1130;658
"0Mtp604";"0Mtp604";NA;NA;NA;NA;NA;NA;NA;NA;NA
"0Mtp610";"0Mtp610";877;170.5;114;1646.54782608696;216.595454545455;854.621904761905;7790;519;4420
"0Mtp715";"0Mtp715";1080;101.35;72.5;1087.38095238095;316.91035;117.138421052632;2090;1150;357
"0Mtp752";"0Mtp752";NA;NA;NA;NA;NA;NA;NA;NA;NA
"0Mtp835";"0Mtp835";239;0;4.78;307.198095238095;34.9490909090909;33.5521904761905;1340;238;185
"0Mtp875";"0Mtp875";606;68.7;6.38;909.040909090909;119.727142857143;17.2281818181818;4520;600;54
"0Mtp886";"0Mtp886";NA;NA;NA;NA;NA;NA;NA;NA;NA
"0Mtp952";"0Mtp952";1080;101.2;27;1706.75454545455;223.150136363636;44.5768181818182;7540;972;168
"114Mtp4";"114Mtp4";0;0;62;1.35166666666667;0;260.838421052632;9.15;0;1350
"11Mtp3";"11Mtp3";381;62.4;54;385.061904761905;86.6714285714286;109.868142857143;974;305;342
"1218Mtp1";"1218Mtp1";253;93;0;230.259130434783;160.972105263158;45.7345;557;506;327
"1221Mtp2";"1221Mtp2";381.5;10.225;288.5;429.95;48.4435;306.4655;1330;220;739
"1227Mtp2";"1227Mtp2";816;343;69.9;1537.52105263158;393.045;214.236363636364;7390;855;667
"1247Mtp1";"1247Mtp1";342;53.4;133;294.745454545455;106.588631578947;125.454545454545;553;267;316
"1261Mtp1";"1261Mtp1";NA;NA;NA;NA;NA;NA;NA;NA;NA
"1266Mtp2";"1266Mtp2";NA;NA;NA;NA;NA;NA;NA;NA;NA
"1277Mtp6";"1277Mtp6";662;184;15.6;614.869565217391;331.047619047619;258.766086956522;979;1040;1940
"129Mtp12";"129Mtp12";989;231;248;1270.13043478261;264.631818181818;320.668421052632;3260;594;682
"1303Mtp3";"1303Mtp3";NA;NA;NA;NA;NA;NA;NA;NA;NA
"1307Mtp1";"1307Mtp1";546;149;47.1;615.65;154.833333333333;47.0473684210526;1340;332;100
"1314Mtp1";"1314Mtp1";572;380;13.8;581.434782608696;449.173913043478;121.246380952381;802;1030;712
"1365Mtp5";"1365Mtp5";0;152.55;2.345;3.91304347826087;852.381818181818;137.812909090909;46.6;3610;975
"1367Mtp1";"1367Mtp1";194.5;103;0;276.995;136.948869565217;102.16380952381;815;761;461
"139Mtp1";"139Mtp1";NA;NA;NA;NA;NA;NA;NA;NA;NA
"1483Mtp3";"1483Mtp3";154;22.2;9.91;164.916315789474;42.8138095238095;109.63;281;173;976
